ioc,ioc_type,threat_campaign,malware_family,threat_actor,source_organization,source_article,source_url,article_published_date,ioc_first_seen,ioc_last_seen,confidence,status,notes
familyonlinestore.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
flarclod.top,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
gardelectricalcontracting.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
golfcoursetravel.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
golftucsonarizona.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
hanbayjewellery.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
hestiamortgages.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
id-ll.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
ilaumachque.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
interactivsbroker.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
