IOCValue,IOCType,ThreatName,MalwareFamily,ThreatActor,Campaign,SourceOrganization,SourceArticleTitle,SourceURL,ArticlePublishedDate,ArticleUpdatedDate,IOCFirstSeen,IOCLastSeen,DateCollected,Confidence,Severity,FreshnessScore,HuntingValue,OverallScore,RecommendedLookbackDays,RequestedLookbackDays,AvailableLookbackDays,EffectiveLookbackDays,MITRETechnique,Notes,SharedInfrastructure,SourceCount,ChangeStatus,Sources
amountfuel.icu,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
animalrecord.xyz,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
animalview.xyz,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
app-microsoft-edge.com.cn,domain,Counterfeit installers to system compromise: Tracking a deceptive software download campaign | Microsoft Security Blog,,,,Microsoft Threat Intelligence,Counterfeit installers to system compromise: Tracking a deceptive software download campaign | Microsoft Security Blog,https://www.microsoft.com/en-us/security/blog/2026/09/01/counterfeit-installers-system-compromise-tracking-deceptive-software-download-campaign/,2026-09-01T22:48:28Z,2026-09-01T22:48:42Z,,,2026-09-20T13:00:00.081404Z,71,6,12,66,59,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Microsoft Threat Intelligence"", ""article_title"": ""Counterfeit installers to system compromise: Tracking a deceptive software download campaign | Microsoft Security Blog"", ""url"": ""https://www.microsoft.com/en-us/security/blog/2026/09/01/counterfeit-installers-system-compromise-tracking-deceptive-software-download-campaign/"", ""published_at"": ""2026-09-01T22:48:28Z"", ""updated_at"": ""2026-09-01T22:48:42Z"", ""reliability"": 0.96}]"
apparatustruck.xyz,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
apparelplate.space,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
archairport.xyz,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
asp.rootkit,domain,UAT-10147 deploys SPECTRE: A cross-platform implant with Linux rootkit and BYOVD capabilities,,,,Cisco Talos,UAT-10147 deploys SPECTRE: A cross-platform implant with Linux rootkit and BYOVD capabilities,https://blog.talosintelligence.com/uat-10147-deploys-spectre-a-cross-platform-implant-with-linux-rootkit-and-byovd-capabilities/,2026-08-20T10:00:50Z,2026-08-26T23:04:45Z,,,2026-09-20T13:00:00.081404Z,68,7,12,66,59,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Cisco Talos"", ""article_title"": ""UAT-10147 deploys SPECTRE: A cross-platform implant with Linux rootkit and BYOVD capabilities"", ""url"": ""https://blog.talosintelligence.com/uat-10147-deploys-spectre-a-cross-platform-implant-with-linux-rootkit-and-byovd-capabilities/"", ""published_at"": ""2026-08-20T10:00:50Z"", ""updated_at"": ""2026-08-26T23:04:45Z"", ""reliability"": 0.92}]"
atthelake.info,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
authoritykittens.info,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
